Code,Description
222,"The provider performs anesthesia services for a patient undergoing an intracranial procedure, including electrocoagulation of an intracranial nerve, which means to stop bleeding using electrocautery, or an electrical current."
190,The provider performs anesthesia services for a patient undergoing a procedure on the facial bones or the skull.
192,"The provider performs anesthesia services for a patient undergoing radical surgery procedures on the facial bones or skull. This may include prognathism, which is a protrusion of the lower jaw."
210,The provider performs anesthesia services for a patient undergoing intracranial procedures that are not specifically described by another anesthesia code.
211,The provider performs anesthesia services for a patient undergoing intracranial procedures that involve removing a small portion of skull bone to take out a hematoma or blood clot from within the brain or tissues surrounding it.
212,"The provider performs anesthesia services for a patient undergoing intracranial procedures involving subdural taps. In this procedure, another provider removes a little fluid from the subdural space, the fluid filled space in between the outer and middle membrane layers covering the brain. The surgical provider performs the procedure to decrease the excess intracranial fluid pressure being exerted on the brain tissues."
214,The provider performs anesthesia services for a patient undergoing intracranial procedures involving burr holes and possibly ventriculography.
215,The provider performs anesthesia services for a patient undergoing extradural intracranial procedures involving cranioplasty or raising a depressed skull fracture.
216,The provider performs anesthesia services for a patient undergoing intracranial vascular procedures.
218,The provider performs anesthesia services for a patient undergoing an intracranial procedure while in a sitting position.
220,The provider performs anesthesia services for a patient undergoing intracranial procedures for cerebrospinal fluid shunting.
145,The provider performs anesthesia services for a patient undergoing vitreoretinal surgery.
147,"The provider performs anesthesia services for a patient undergoing an iridectomy, or surgery to remove part of the iris."
148,The provider performs anesthesia services for a patient undergoing an ophthalmoscopy.
160,"The provider performs anesthesia services for a patient undergoing procedures on the nose and accessory sinuses, hollow chambers in the skull that open into the nasal cavity. Use this code when there is no more specific code available."
162,The provider performs anesthesia services for a patient undergoing radical surgery on the nose and accessory sinuses.
164,The provider performs anesthesia services for a patient undergoing soft tissue biopsy of the nose and accessory sinuses.
170,"The provider performs anesthesia services for a patient undergoing an intraoral procedure, including biopsy."
172,"The provider performs anesthesia services for a patient undergoing an intraoral procedure, including biopsy and repair of a cleft palate."
174,"The provider performs anesthesia services for a patient undergoing an intraoral procedure, including biopsy and excision of a retropharyngeal tumor."
176,"The provider performs anesthesia services for a patient undergoing an intraoral procedure, including biopsy, radical surgery."
100,"The provider performs anesthesia services for a patient undergoing a procedure on the salivary glands, including biopsy."
102,The provider performs anesthesia services for a patient undergoing a plastic repair of cleft lip.
103,The provider performs anesthesia services for a patient undergoing a reconstructive procedure of eyelid such as blepharoplasty or ptosis surgery.
104,The provider performs anesthesia services for a patient undergoing electroconvulsive therapy.
120,"The provider performs anesthesia services for a patient undergoing procedures on the external, middle, and inner ear, including biopsy."
124,"The provider performs anesthesia services for a patient undergoing procedures on the external, middle, and inner ear, including biopsy and otoscopy."
126,"The provider performs anesthesia services for a patient undergoing procedures on the external, middle, and inner ear including biopsy and tympanotomy."
140,The provider performs anesthesia services for a patient undergoing an eye procedure.
142,The provider performs anesthesia services for a patient undergoing an eye lens procedure.
144,The provider performs anesthesia services for a patient undergoing a corneal transplant.
300,"The provider performs anesthesia services for a patient undergoing any procedure on the integumentary system, muscles and nerves of head, neck, and posterior trunk."
320,"The provider performs anesthesia services for a patient undergoing any procedure on the esophagus, thyroid, larynx, trachea and lymphatic system of the neck when the patient is one year or older."
322,"The provider performs anesthesia services for a patient undergoing any procedure on the esophagus, thyroid, larynx, trachea and lymphatic system of the neck, including a needle biopsy of the thyroid."
326,The provider performs anesthesia services for a patient undergoing any procedure on the larynx and trachea in children younger than one year of age.
350,"The provider performs anesthesia services for a patient undergoing any procedure on the major vessels of the neck, not otherwise specified."
352,"The provider performs anesthesia services for a patient undergoing any procedure on the major vessels of neck, including simple ligation."
400,"The provider performs anesthesia services for a patient undergoing any procedure on the integumentary system on the extremities, anterior trunk and perineum, not otherwise specified."
402,"The provider performs anesthesia services for a patient undergoing a procedure on the integumentary system on the extremities, anterior trunk and perineum, including reconstructive procedures on the breast."
404,"The provider performs anesthesia services for a patient undergoing a procedure on the integumentary system on the extremities, anterior trunk and perineum, including a radical or modified radical procedure on the breast."
406,"The provider performs anesthesia services for a patient undergoing a procedure on the integumentary system of the extremities, anterior trunk, and perineum, including a radical or modified radical procedure on the breast with internal mammary node dissection."
410,"The provider performs anesthesia services for a patient undergoing a procedure on the skin of the upper and lower limbs, the front aspect of the chest and abdomen, or the perineum. For this code, the patient’s treatment includes electrical conversion for treating the irregularity of heartbeats."
450,"The provider performs anesthesia services for a patient undergoing a procedure on the clavicle and scapula, which is not specified by another code. The clavicle and scapula are bones in the upper torso."
454,"The provider performs anesthesia services for a patient undergoing a biopsy procedure on the clavicle, which is the collarbone."
470,The provider performs anesthesia services for a patient undergoing partial rib removal in a procedure not otherwise specified by another code.
472,"The provider performs anesthesia services for a patient undergoing partial rib resection including thoracoplasty, in which another provider partially removes one or more ribs. The surgery may involve a reparative procedure on the thorax."
474,"The provider performs anesthesia services for a patient undergoing a partial rib resection in which the surgical provider removes a portion of the ribs. The radical procedure involves other extensive measures for treating conditions such as pectus excavatum, which is a hollow depression in the center of the lower chest."
563,"The provider performs anesthesia services for a patient undergoing a procedure involving the heart, the sac around the heart, and the great vessels of the chest, such as the aorta, its major branches, and the major pulmonary vessels. The procedure requires a pump oxygenator to take on the work of the heart and lungs. The procedure also involves hypothermic circulatory arrest, which cools the body to stop blood circulation without endangering the patient."
566,The provider performs anesthesia services for a patient undergoing a coronary artery bypass graft procedure. The procedure does not require a pump oxygenator to take on the work of the heart and lungs.
567,The provider performs anesthesia services for a patient undergoing a coronary artery bypass graft procedure. The procedure requires a pump oxygenator to take on the work of the heart and lungs.
580,The provider performs anesthesia services for a patient undergoing transplant of the heart or of both the heart and lungs
539,The provider performs anesthesia services for a patient undergoing the procedure of tracheobronchial reconstruction in which the surgical provider performs repair of injury or malformations in the windpipe and its subdivisions.
540,The provider performs anesthesia services for a patient undergoing procedures that are not specifically described by another anesthesia code in which the surgical provider performs thoracotomy. Thoracotomy is opening the chest for surgical treatment or investigation of structures within the chest.
541,The provider performs anesthesia services for a patient undergoing a procedure involving opening the chest wall and using one lung ventilation.
